Current Rebirth:,0,,
Droids,Rebirth,Quality,Rarity
LOADLIFTER,30,Galactic,Mythic
CYCLENS,30,Beskar,Mythic
B2-RP,30,Galactic,Legendary
Mecha-Droid,29,Galactic,Legendary
MONO-WLKR,29,Galactic,Legendary
IG,29,Beskar,Mythic
MO-TRAK,28,Rainbow,Mythic
Proto-Roller,28,Galactic,Legendary
DRFT-R,28,Beskar,Mythic
KX,27,Diamond,Mythic
TRI-TEK,27,Rainbow,Mythic
Snow Mouse,27,Beskar,Mythic
CYCLENS,26,Gold,Mythic
LOADLIFTER,26,Diamond,Mythic
RIC-1200,26,Rainbow,Mythic
B2-RP,25,Beskar,Legendary
IG,25,Default,Mythic
DRFT-R,25,Gold,Mythic
BB-9 ,24,Beskar,Legendary
CYCLO-GRAV,24,Beskar,Legendary
MO-TRAK,24,Default,Mythic
MONO-WLKR,23,Beskar,Legendary
Opti-STRK,23,Beskar,Legendary
R7,23,Beskar,Legendary
AMP Walker,22,Beskar,Epic
B1 Heavy,22,Beskar,Epic
Proto-Roller,22,Beskar,Legendary
BB,21,Beskar,Epic
Groundmech,21,Beskar,Epic
Orb-Walker,21,Beskar,Epic
Mecha-Droid,20,Rainbow,Legendary
Opti-STRK,20,Rainbow,Legendary
R7,20,Rainbow,Legendary
B2-RP,19,Rainbow,Legendary
CYCLO-GRAV,19,Rainbow,Legendary
Proto-Roller,19,Rainbow,Legendary
BB-9 ,18,Diamond,Legendary
MONO-WLKR,18,Rainbow,Legendary
R7,18,Diamond,Legendary
B2-RP,17,Diamond,Legendary
CYCLO-GRAV,17,Diamond,Legendary
Mecha-Droid,17,Diamond,Legendary
MONO-WLKR,16,Diamond,Legendary
Opti-STRK,16,Gold,Legendary
Proto-Roller,16,Diamond,Legendary
B2-RP,15,Gold,Legendary
BB-9 ,15,Gold,Legendary
R7,15,Gold,Legendary
Mecha-Droid,14,Gold,Legendary
MONO-WLKR,14,Gold,Legendary
Opti-STRK,14,Default,Legendary
B2-RP,13,Default,Legendary
CYCLO-GRAV,13,Default,Legendary
R7,13,Default,Legendary
Mecha-Droid,12,Default,Legendary
MONO-WLKR,12,Default,Legendary
Proto-Roller,12,Gold,Legendary
AMP Walker,11,Rainbow,Epic
B1 Heavy,11,Rainbow,Epic
BB-9 ,11,Default,Legendary
HAUL-R,10,Rainbow,Epic
LO,10,Rainbow,Epic
Strike-Orb,10,Gold,Epic
Groundmech,9,Rainbow,Epic
R6,9,Gold,Epic
TRAK-R,9,Gold,Epic
HOV-R,8,Diamond,Rare
LO,8,Gold,Epic
UTIL-TEC,8,Gold,Epic
B1 Security,7,Diamond,Rare
BB,7,Gold,Epic
BU-4D,7,Diamond,Rare
A-LT,6,Diamond,Rare
ARG,6,Diamond,Rare
Groundmech,6,Gold,Epic
BU-4D,5,Gold,Rare
HOV-R,5,Gold,Rare
R9,5,Diamond,Rare
ARG,4,Gold,Rare
B1 Security,4,Gold,Rare
Groundmech,4,Default,Epic
A-LT,3,Default,Rare
BU-4D,3,Default,Rare
R9,3,Gold,Rare
2BB,2,Default,Rare
Bal-Core,2,Default,Rare
BDX Explorer,2,Default,Rare
CB,1,Default,Common
DRK-1 Probe,1,Default,Common
Pit,1,Default,Common
