Current Rebirth:,0,,
Droids,Rebirth,Quality,Rarity
MONO-WLKR,30,Galactic,Legendary
CYCLENS,30,Beskar,Mythic
IG,30,Galactic,Mythic
TRI-TEK,29,Beskar,Mythic
R7,29,Galactic,Legendary
BB-9 ,29,Galactic,Legendary
IG,28,Rainbow,Mythic
KX,28,Beskar,Mythic
OPTI-STRK,28,Galactic,Legendary
RIC-1200,27,Diamond,Mythic
SNOW MOUSE,27,Rainbow,Mythic
LOADLIFTER,27,Beskar,Mythic
CYCLENS,26,Gold,Mythic
LEP,26,Diamond,Mythic
MO-TRAK,26,Rainbow,Mythic
OPTI-STRK,25,Beskar,Legendary
TRI-TEK,25,Default,Mythic
DRFT-R,25,Gold,Mythic
MECHA-DROID,24,Beskar,Legendary
PROTO-ROLLER,24,Beskar,Legendary
MO-TRAK,24,Default,Mythic
MONO-WLKR,23,Beskar,Legendary
CYCLO-GRAV,23,Beskar,Legendary
B2-RP,23,Beskar,Legendary
GUNRUNNER,22,Beskar,Epic
STRIKE-ORB,22,Beskar,Epic
B2 SUPER,22,Beskar,Epic
AMP WALKER,21,Beskar,Epic
GROUNDMECH,21,Beskar,Epic
HAUL-R,21,Beskar,Epic
MONO-WLKR,20,Rainbow,Legendary
OPTI-STRK,20,Rainbow,Legendary
CYCLO-GRAV,20,Rainbow,Legendary
MECHA-DROID,19,Diamond,Legendary
R7,19,Diamond,Legendary
B2-RP,19,Rainbow,Legendary
B2-RP,18,Gold,Legendary
BB-9 ,18,Gold,Legendary
R7,18,Diamond,Legendary
OPTI-STRK,17,Default,Legendary
CYCLO-GRAV,17,Gold,Legendary
MECHA-DROID,17,Gold,Legendary
UTIL-TEC,16,Rainbow,Epic
BB-9 ,16,Default,Legendary
R7,16,Gold,Legendary
B2 HEAVY,15,Diamond,Epic
B2 SUPER,15,Rainbow,Epic
B2-RP,15,Default,Legendary
BAL-CORE,14,Diamond,Rare
GROUNDMECH,14,Diamond,Epic
TRAK-R,14,Rainbow,Epic
B2 SUPER,13,Rainbow,Epic
MECHA-DROID,13,Default,Legendary
PROTO-ROLLER,13,Default,Legendary
BAL-CORE,12,Rainbow,Rare
GROUNDMECH,12,Gold,Epic
TRAK-R,12,Gold,Epic
B2 HEAVY,11,Default,Epic
B2 SUPER,11,Default,Epic
UTIL-TEC,11,Default,Epic
TRAK-R,10,Default,Epic
GROUNDMECH,10,Default,Epic
SENATE HOVERCAM,10,Rainbow,Rare
BDX EXPLORER,9,Rainbow,Rare
R4,9,Rainbow,Rare
R5,9,Rainbow,Common
B1 SECURITY,8,Rainbow,Rare
R3,8,Rainbow,Common
2BB,8,Rainbow,Rare
R8,7,Diamond,Common
R9,7,Diamond,Rare
B1 BATTLE,7,Diamond,Common
BDX EXPLORER,6,Diamond,Rare
R4,6,Diamond,Rare
R5,6,Diamond,Common
2BB,5,Gold,Rare
R3,5,Gold,Common
SENATE HOVERCAM,5,Gold,Rare
R9,4,Gold,Rare
B1 BATTLE,4,Gold,Common
B1 SECURITY,4,Gold,Rare
R4,3,Default,Rare
R5,3,Gold,Common
R8,3,Gold,Common
R3,2,Default,Common
2BB,2,Default,Rare
SENATE HOVERCAM,2,Default,Rare
ID-10,1,Default,Common
PIT,1,Default,Common
DRK-1 PROBE,1,Default,Common
