Current Rebirth:,0,,
Droids,Rebirth,Quality,Rarity
???,30,???,???
???,30,???,???
???,30,???,???
???,29,???,???
???,29,???,???
???,29,???,???
???,28,???,???
???,28,???,???
???,28,???,???
IG,27,Rainbow,Mythic
RIC-1200,27,Diamond,Mythic
DRFT-R,27,Beskar,Mythic
LEP,26,Gold,Mythic
TRI-TEK,26,Diamond,Mythic
SNOW MOUSE,26,Rainbow,Mythic
MO-TRAK,25,Gold,Mythic
LOADLIFTER,25,Default,Mythic
PROTO-ROLLER,25,Beskar,Legendary
BB-9 ,24,Beskar,Legendary
B2-RP,24,Beskar,Legendary
RIC,24,Default,Mythic
MONO-WLKR,23,Beskar,Legendary
MECHA-DROID,23,Beskar,Legendary
CYCLO-GRAV,23,Beskar,Legendary
GUNRUNNER,22,Beskar,Epic
LNG-SHOT,22,Beskar,Epic
B2-RP,22,Beskar,Legendary
B2 SUPER,21,Beskar,Epic
OPTI-POD,21,Beskar,Epic
R2,21,Beskar,Epic
CYCLO-GRAV,20,Rainbow,Legendary
MONO-WLKR,20,Rainbow,Legendary
OPTI-STRK,20,Rainbow,Legendary
B2-RP,19,Rainbow,Legendary
MECHA-DROID,19,Diamond,Legendary
R7,19,Rainbow,Legendary
BB-9 ,18,Diamond,Legendary
PROTO-ROLLER,18,Diamond,Legendary
UTIL-TEC,18,Rainbow,Epic
MONO-WLKR,17,Gold,Legendary
OPTI-POD,17,Rainbow,Epic
R7,17,Diamond,Legendary
AMP WALKER,16,Rainbow,Epic
B2-RP,16,Diamond,Legendary
MECHA-DROID,16,Gold,Legendary
BB-9 ,15,Gold,Legendary
PROTO-ROLLER,15,Gold,Legendary
STRIKE-ORB,15,Rainbow,Epic
B2 HEAVY,14,Rainbow,Epic
B2-RP,14,Default,Legendary
R7,14,Gold,Legendary
B2 SUPER,13,Rainbow,Epic
MECHA-DROID,13,Default,Legendary
PROTO-ROLLER,13,Default,Legendary
BAL-CORE,12,Rainbow,Rare
GROUNDMECH,12,Gold,Epic
TRAK-R,12,Gold,Epic
B2 HEAVY,11,Default,Epic
B2 SUPER,11,Default,Epic
UTIL-TEC,11,Default,Epic
GROUNDMECH,10,Default,Epic
SENATE HOVERCAM,10,Rainbow,Rare
TRAK-R,10,Default,Epic
BDX EXPLORER,9,Rainbow,Rare
R4,9,Rainbow,Rare
R5,9,Rainbow,Common
2BB,8,Rainbow,Rare
B1 SECURITY,8,Rainbow,Rare
R3,8,Rainbow,Common
B1 BATTLE,7,Diamond,Common
R8,7,Diamond,Common
R9,7,Diamond,Rare
BDX EXPLORER,6,Diamond,Rare
R4,6,Diamond,Rare
R5,6,Diamond,Common
2BB,5,Gold,Rare
R3,5,Gold,Common
SENATE HOVERCAM,5,Gold,Rare
B1 BATTLE,4,Gold,Common
B1 SECURITY,4,Gold,Rare
R9,4,Gold,Rare
R4,3,Default,Rare
R5,3,Default,Common
R8,3,Default,Common
2BB,2,Default,Rare
R3,2,Default,Common
SENATE HOVERCAM,2,Default,Rare
GONK,1,Default,Common
MOUSE,1,Default,Common
PIT,1,Default,Common
